variable,Python,R,Difference,Abs_Difference
TOWNNO,0.0622515113555906,0.0546528184940112,0.007598692861579402,0.007598692861579402
TRACT,0.0572953542835357,0.0500146578440405,0.0072806964394952,0.0072806964394952
LON,0.0569141114318392,0.0517317195745037,0.005182391857335503,0.005182391857335503
LAT,0.0600729807744676,0.0397855766814641,0.020287404093003503,0.020287404093003503
CRIM,0.0598551277163553,0.0658346595192227,-0.005979531802867394,0.005979531802867394
ZN,0.0588203256903218,0.0461093893960968,0.012710936294224998,0.012710936294224998
INDUS,0.0607265399488045,0.0569457240974956,0.003780815851308905,0.003780815851308905
CHAS,0.058221229780513,0.0718548454644443,-0.013633615683931302,0.013633615683931302
NOX,0.057513207341648,0.0917895133595779,-0.0342763060179299,0.0342763060179299
RM,0.0562605522575023,0.0946059133930815,-0.038345361135579195,0.038345361135579195
AGE,0.0583301563095692,0.0410105536477092,0.01731960266186,0.01731960266186
DIS,0.0575676706061761,0.0665466119440489,-0.008978941337872803,0.008978941337872803
RAD,0.0574587440771199,0.0452927380852668,0.0121660059918531,0.0121660059918531
TAX,0.0584390828386253,0.0420889521735489,0.016350130665076394,0.016350130665076394
PTRATIO,0.0623059746201187,0.0463816064997068,0.015924368120411897,0.015924368120411897
B,0.0600729807744676,0.05407697462099,0.005996006153477597,0.005996006153477597
LSTAT,0.0578944501933445,0.081277745204791,-0.023383295011446502,0.023383295011446502
